reportname	category	reporttype	reporttitle	visible	containerpath	schemaname	queryname	viewname	report	datefieldname	todayonly	queryhaslocation	sort_order	QCStatePublicDataFieldName	description
surgMedicationSchedule2	Surgery	js	Surgical Medication Schedule	true		study	surgMedicationSchedule			date	false	false			This report contains a list of daily treatments to be administered
surgMedicationSchedule	Daily Reports	js	Surgical Medication Schedule	true		study	surgMedicationSchedule			date	false	false			This report contains a list of daily treatments to be administered
incompleteTreatments	Daily Reports	js	Meds/Diet - Incomplete	true		study	incompleteTreatments			date	false	false			This report contains a list of daily treatments not yet administered
bloodSchedule	Daily Reports	js	Blood Schedule	true		study	bloodSchedule			date	false	false			This report contains an overview of the animal's clinical history
birth	Colony Management	query	Birth Records	true		study	birth				false	false			Birth records
birth2	Reproductive Management	query	Birth Records	true		study	birth				false	false			Birth records
death	Colony Management	query	Death Records	true		study	deaths				false	false			Death records
roommateHistory	Colony Management	query	Cagemate History	true		study	housingRoommates			StartDate	false	false			This report displays all animals that shared a cage, including the start date, stop date and days co-housed
activeHousing	Colony Management	query	Housing - Active	true		study	housing	Active Housing		date	false	true			This report shows the active housing record for each animal
housing	Colony Management	query	Housing History	true		study	housing			date	false	true			This report contains the housing history of each animal
inbreeding	Genetics	query	Inbreeding Coefficients	true		study	Inbreeding Coefficients				false	false			This report shows the inbreeding coefficient of each animal, where pedigree data is available. The inbreeding coefficient is the kinship coefficient between the individual's parents. It measures the probability that the two alleles of a gene are identical by descent in the same individual (autozygosity). It is zero if the individual is not inbred.
parentage	Genetics	query	Parentage	true		study	demographicsParents				false	false			This report shows information about the parentage of each animal, drawing from genetic data and observations
potentialParents	Colony Management	js	Potential Parents	false		study	potentialParents				false	false			This report shows potential parents for the animal, which is based on housing at estimated time of conception
citesReview	Colony Management	query	Cites Review	true		study	demographics	Cites Review		date	false	false
kinship	Genetics	js	Kinship	true		ehr	kinshipSummary				false	false			This report shows the kinship coefficient between every animal in the colony. The kinship coefficient is a measure of relatedness between two individuals. It represents the probability that two genes, sampled at random from each individual are identical (e.g. the kinship coefficient between a parent and an offspring is 0.25).
pedigree	Genetics	js	Pedigree	true		study	pedigree				false	false			This report displays pedigree data for animals, including parents, grandparents, siblings and offspring
mhcData	Genetics	query	MHC Typing - Detailed	true		MHC_Data	MHC_Data_Unified				false	false
mhcDataPivoted	Genetics	query	MHC Typing - Summary	true		MHC_Data	MHC_Data_Pivoted	Common Alleles			false	false
siblings	Reproductive Management	query	Siblings	true		study	demographicsSiblings				false	false			This report displays pedigree data for animals, including parents, grandparents, siblings and offspring
offspring	Reproductive Management	query	Offspring	true		study	demographicsOffspringBSU				false	false			This report displays pedigree data for animals, including parents, grandparents, siblings and offspring
pedigreePlot	Genetics	report	Pedigree Plot	true		study	pedigree		module:EHR/schemas/study/Pedigree/Pedigree.r		false	false			This report will generate a pedigree plot for the selected animal
TBTest	Lab Results	js	TB Test Results	true		study	TBTest	TB Tests		date	false	false			TB Test results
snapshot	General	js	Snapshot	true		study	onprcSnapshot				false	false			This report contains a summary of the animal, including demographics, assignments and weight
clinSnapshot	Clinical	js	Clinical Snapshot	true		study	onprcSnapshot				false	false			This report contains a summary of the animal, including demographics, assignments and weight
arrival	General	query	Arrivals	true		study	arrival			date	false	false			Displays arrival and departure dates
departure	General	query	Departures	true		study	departure			date	false	false			Displays arrival and departure dates
bloodDraws	General	query	Blood Draw History	true		study	Blood Draws			date	false	false			"Contains records of blood draws.  "
currentBlood	General	js	Current Blood	true		study	currentBlood			date	false	false			This report contains a summary of the current available blood for each animal
deaths	General	query	Deaths	true		study	Deaths			date	false	false			Contains a list of animal deaths
demographics	General	query	Demographics	true		study	demographics	BCS Score			false	false			This report displays the demographics data about each animal including species, gender and birth
notes	General	query	Notes	true		study	notes	Active Notes		date	false	false			This report contains non-clinical notes entered into the animal's record
biopsies	Pathology	query	Biopsies	true		study	Clinical Encounters	Biopsies		date	false	false			Contains information about biopsies
pathologyDiagnoses	Pathology	query	SNOMED Codes	true		ehr	SnomedBySetSearch			date	false	false
necropsies	Pathology	query	Necropsies	true		study	Clinical Encounters	Necropsies		date	false	false			Contains information about necropsies
tissueSamples	Pathology	query	Tissue Weights	true		study	Tissue Samples			date	false	false			This report contains tissue weights obtained at necropsy
tissueMeasurements	Pathology	js	Tissue Measurements	true		study	measurementsPivoted			date	false	false			This report contains tissue measurements
tissueDistriutions	Pathology	query	Tissue Distributions	true		study	tissueDistributionsReport			date	false	false
cases	Daily Reports	query	Active Clinical Cases	true		study	Cases	Active Clinical Cases		date	false	false			This displays active clinical cases
behaviorCases	Behavior	query	Behavior Cases	true		study	mostRecentObservationsBehavior	Open Behavior Case		date	false	false			This displays active behavior cases
surgicalCases	Daily Reports	query	Active Surgery Cases	true		study	Cases	Active Surgery Cases		date	false	false			This displays active surgery cases
surgeryCasesClosedToday	Surgery	js	Surgery Cases Closed Today	true		study	surgeryCasesClosedToday			date	false	false			This displays surgery cases closed today
activeFlags	General	query	Active Flags	true		study	Animal Record Flags	Active Flags		date	false	false			This displays active flags for this animals
surgicalCases2	Surgery	query	Surgery Cases	true		study	Cases	Active Surgery Cases		date	false	false			This displays active surgery cases
allProblems	Clinical	query	Master Problems	true		study	Problem List			date	false	false			This displays the clinical problem list, including closed problems
matings	Reproductive Management	query	Matings	true		study	matingsExpanded			date	false	false			This displays the records of matings
matingSuccessRates	Reproductive Management	query	Mating Success Rates	true		study	matingSuccessRates			date	false	false			This displays a summary of matings
reproSummary	Reproductive Management	js	Reproductive Summary	true		study	reproSummary			date	false	false
menseCycleLength	Reproductive Management	js	Cycle Length	true		study	menseCycleLength			date	false	false
menses	Reproductive Management	query	Menses	true		study	menseData			date	false	false
delivery	Reproductive Management	query	Deliveries	true		study	Delivery			date	false	false
pregnancy	Reproductive Management	query	Pregnancies	true		study	Pregnancy Confirmations			date	false	false
samples	Genetics	query	DNA Bank	true		DNA_Bank	samples				false	false
NHPTraining	Behavior	query	NHP Training	true		onprc_ehr	NHP_Training			training_Start_Date	false	false
Weights History	Colony Management	query	Weights History	true		study	weight	Weight Details			false	false
geneticTesting	Genetics	query	Genetic Testing	true		GeneticTests	genotypesWithSignificance			date	false	false
geneticAncestry	Genetics	query	Genetic Ancestry	true		study	geneticAncestry			date	false	false
pathologyDiagnosis	Pathology	query	SNOMED Codes by ID	true		study	pathologySnomeds			date	false	false
pairingcomments	Behavior	query	Pairing Comments	false		study	pairingSummaryComments			date	false	false
Genetic Value Ranking	Genetics	query	Genetic Value Ranking	true		study	GeneticValueRanking				false	false			Genetic Value Ranking report
ActiveStudyDetails	Assignments and Groups	query	Active Study Details	true		study	ActiveStudyDetails	Active Study Details			false	false			The report shows active Study details.
StudyDetailsHistory	Assignments and Groups	query	Study Details History	true		study	StudyDetailsHistory	Study Details History			false	false			This report shows the study details history
potentialParents	Genetics	js	Potential Parents	true		study	potentialParents				false	false			This report shows potential parents for the animal, which is based on housing at estimated time of conception
behaviorOBSTreatment	Behavior	query	Behavior Obs with Treatments	true		study	BehaviorOBSTreatment				false	false
pairingdaminfant	Behavior	query	Dam-Infant Pairing	true		study	pairingSummary	Dam Infant Pairing			false	false
pairingevents	Behavior	query	Pairing Events	true		study	pairingSummary	Pairing Events		date	false	false			"Excludes the following start type:
 - general comment
 - pair monitor
 - lactating foster
 - nonlactating foster
 - c-sx reunite
 - bio dam reunite"
PMIC_PETImagingData	Imaging	query	PMIC - PET	true		study	PMIC_PET_AnimalHistory				false	false	4		Shows PET Imaging data
PMIC_CTImagingData	Imaging	query	PMIC - CT	true		study	PMIC_CT_AnimalHistory				false	false	2		Shows CT Imaging data
PMIC_AngioImagingData	Imaging	query	PMIC - Angio	true		study	PMIC_Angio_AnimalHistory				false	false	1		Shows Angio Imgaing data
PMIC_SPECTImagingData	Imaging	query	PMIC - SPECT	true		study	PMIC_SPECT_AnimalHistory				false	false	5		Shows SPECT Imaging data
PMIC_USImagingData	Imaging	query	PMIC - Ultrasound	true		study	PMIC_US_AnimalHistory				false	false	6		Shows Ultrasound data
PMIC_DEXAImagingData	Imaging	query	PMIC - DEXA	true		study	PMIC_DEXA_AnimalHistory				false	false	3		Shows DEXA Imaging data
biopsydiagnosis	Pathology	query	Biopsy Diagnosis	true		study	BiopsyDiagnosis			date	false	false
Epoc	Lab Results	js	Epoc	true		study	Epoc			date	false	false			Contains Epoc Results
multiplexpcr	Lab Results	query	Multiplex PCR	true		study	Misc Tests	BiofireRespiratory		date	false	false
PrimaCassetteData	Pathology	query	Cassette Data	true		onprc_ehr	PrimaCassetteDataWithAnimalIds				false	false			Display Prima Cassette Data
