servicename	outsidelab	chargetype	dataset	tissue	collectionmethod	method
PDL ABSCN-5	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
PDL ABSCN-8	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
PDL SRV1 WB	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
PDL SRV2 WB	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
PDL SRV5 WB	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
PDL SIV WB	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
PDL STLV WB	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
Herpes B Status Confirmation	false	SPF Surveillance Lab	Serology/Virology	T-0X500	Venipuncture 
Urinalysis	false	Clinpath	Urinalysis	T-7X100	
CSF analysis (WBC count & differential)	false	Clinpath	Misc Tests	T-X1000	
CSF Glucose	true	Clinpath	Misc Tests	T-X1000	
CSF Total Protein	true	Clinpath	Misc Tests	T-X1000	
Other Clinpath	false	Clinpath	Misc Tests		
Other SPF Surveillance	false	SPF Surveillance Lab	Misc Tests		
BASIC Chemistry Panel (Axthelm)	false	Research Staff	Biochemistry	T-0X500	
Calcium, total	false	Clinpath	Biochemistry	T-0X500	
Calcium, ionized	false	Clinpath	Biochemistry	T-0X500	
iSTAT	false		iSTAT		
