code	meaning
D-67070	MESANGIOCAPILLARY GLOMERULONEPHRITIS, NOS (MEMBRANOPR.)
D-67100	CHRONIC GLOMERULONEPHRITIS SYNDROME
D-68030	OBSTRUCTIVE UROPATHY
D-68150	URETHRAL DISEASE OR SYNDROME, NOS
D-6D102	VICTIM OF TRAUMA with Multiple injuries, NOS
D-6D186	DECOMPOSED BODY, NOS
D-6D187	PARTIALLY SKELETONIZED BODY
D-6D188	MUMMIFIED BODY
D-6D189	SKELETONIZED BODY
D-6D190	UNIDENTIFIED BODY, NOS
D-6D191	UNIDENTIFIED BODY BUT IDENTITY SUSPECTED
D-70000	DISEASE OR SYNDROME OF CARDIOVASCULAR SYSTEM, NOS
D-70300	HEART DISEASE
D-70500	CONGESTIVE HEART FAILURE
D-71000	CARDIOMYOPATHY
D-71500	RHEUMATIC HEART DISEASE
D-72110	BACTERIAL ENDOCARDITIS
D-72500	ISCHEMIC HEART DISEASE
D-73030	ARTERIAL VASCULAR DISEASE
D-73210	POLYARTERITIS NODOSA
D-73500	ARTERIOSCLEROSIS, GENERALIZED
D-75000	DISEASE OR SYNDROME OF RESPIRATORY SYSTEM, NOS
D-75050	UPPER RESPIRATORY INFECTION, NOS
D-75061	PNEUMONIA, BACTERIAL, NOS
D-75065	Pneumonia, Viral, NOS
D-75070	CLINICAL PNEUMONIA, NOS
D-7535X	INHALATION OF LIQUID IN LOWER RESPIRATORY TRACT
D-76180	KAOLINOSIS
D-77060	HYALINE MEMBRANE DISEASE
D-77500	ASPIRATION PNEUMONIA, NOS
D-77510	ASPIRATION SYNDROME IN THE NEWBORN, NOS
D-80000	NEUROMUSCULAR DISEASE, NOS
D-80020	DISEASE OR SYNDROME OF THE NERVOUS SYSTEM
D-80040	MYOPATHY, NOS
D-80200	DYSTROPHIC MUSCLE DISEASE, NOS
D-80210	PROGRESSIVE MUSCULATURE DYSTROPHY, NOS
D-80400	NEUROMUSCULAR PARALYTIC DISEASE, NOS
D-84150	CUSHINGS SYNDROME (CEREBELLOPONTINE ANGLE SYN)
D-84610	BLEPHAROSPASM
D-84890	OLIVOCEREBELLAR ATROPHY
D-85000	CEREBRAL DISEASE, NOS
D-85720	Seizure, full (grand mal)
D-87210	HEPATIC ENCEPHALOPATHY SYNDROME
D-88500	ENCEPHALOPATHY, NONSPECIFIC
D-88700	DEMYELINATING NERVOUS SYSTEM DISEASE
D-89030	APOPLEXY, NOS
D-8X000	MYELOPATHY, NOS
D-93280	NEGLECTED INFANT SYNDROME
D-93310	SELF INDUCED ILLNESS
D-A0547	INTRAEPIDERMAL PUSTULAR DERMATITIS
D-A1012	MENINGOENCEPHALITIS
D-A1013	ENCEPHALOMYELITIS, NOS
D-A1053	EXPERIMENTAL ALLERGIC ENCEPHALOMYELITIS
D-A1303	ANOXIC BRAIN DAMAGE, NOS
D-A1307	CEREBRAL EDEMA
D-A2004	HYDROCEPHALUS, ACQUIRED, OBSTRUCTIVE
D-A2006	CEREBRAL ATAXIA
D-A6021	OSTEOMYELITIS, NOS
D-B0120	MAXILLARY SINUSITIS, NOS
D-B0130	FRONTAL SINUSITIS, NOS
D-B1032	STENOSIS OF TRACHEA
D-B1033	ULCER OF TRACHEA
D-B5031	ASPIRATION PNEUMONIA DUE TO REGURGITATED FOOD
D-B6110	PULMONARY EDEMA, NOS
D-B6114	PULMONARY HEMORRHAGE
D-C1002	NORMOCYTIC NORMOCHROMIC ANEMIA
D-C1618	CARDIAC DILATATION
D-C2120	CARDIOMYOPATHY, SECONDARY, DILATED
D-C3080	CARDIOPULMONARY ARREST
D-C4021	PULMONARY INFARCTION
D-C4023	PULMONARY EMBOLISM
D-C8063	SHOCK, SEPTIC
D-C8753	THROMBOSIS OF VENA CAVA
D-C9121	SUBACUTE CONSTRICTIVE PERICARDITIS
D-D4530	Rectal Prolapse
D-D5032	rhabdomyolysis
D-D5681	CONGENITAL ABSENCE OF RECTUM
D-D5682	Congenital deformity
D-D5691	ABSENCE OF ANUS
D-D5741	CONGENITAL DUPLICATION OF GALLBLADDER
D-D6315	LATE EFFECT OF FRACTURE OF LOWER EXTREMITIES
D-D6431	HEAT EXHAUSTION, NOS
D-D6600	COMPLICATION OF SURGICAL PROCEDURE, NOS
D-D6630	COMPLICATION OF INTERNAL DEVICE, NOS
D-D66A0	COMPLICATION OF PRECEDURE, NEC
D-D66A3	ACCIDENTAL PUNCTURE/LACERATION DURING A PROCEDURE, NOS
D-D7320	Prolapsed Uterus
D-D7400	CONGENITAL ANOMALY OF THE BLADDER, NOS
D-D8511	UNDESCENDED TESTIS
D-D8532	CONGENITAL HYPOPLASIA OF PENIS
D-D8535	HYPOSPADIAS
D-D9105	MICROCEPHALY
D-D9160	CONGENITAL ISCHEMIC ATROPHY OF CNS STRUCTURE
D-D9163	ULEGYRIA
D-DF013	MUMMIFIED FETUS
D-DF016	IMMATURE FETUS
D-DF020	MACERATED FETUS
D-DF105	ABNORMAL TWINS, NOS
D-DF306	PLACENTA PREVIA, NOS
D-E0100	PRIMARY CHRONIC PSEUDO-OBSTRUCTION OF LARGE INTESTINE
D-E1077	PERIAPICAL ABSCESS WITH SINUS TRACT
D-E1340	YERSINIOSIS, NOS
D-E1900	CONGENITAL INFECTIOUS DISEASE, NOS
D-E3030	ESOPHAGEAL ULCER, NOS
D-E3221	GASTRIC ULCER, NOS WITH PERFORATION
D-E3262	ACUTE GASTRIC DILATATION
D-E3285	GASTRIC TRICHOBEZOAR (V)
D-E3417	DUODENAL ULCER, NOS WITH PERFORATION
D-E4115	MEGACOLON, TOXIC
D-E4133	ENTEROCOLITIS, ACUTE HEMORRHAGIC
D-E4136	HEMORRHAGIC NECROSIS OF INTESTINE
D-E4137	ACUTE BOWEL INFARCTION
D-E4138	FULMINANT ENTEROCOLITIS
D-E4160	GASTEROENTERITIS, NON-INFECTIOUS
D-E4161	GASTEROENTERITIS, ALLERGIC
D-E4164	COLITIS, NON-INFECTIOUS
D-E4170	COLITIS, NOS
D-E4203	STENOSIS OF COLON
D-E4214	VOLVULUS of COLON
D-E4250	FISTULA OF INTESTINE, NOS
D-E4262	ULCERATION OF COLON
D-E4405	MEGACOLON, ACQUIRED
D-E4410	COLITIS, MUCOID
D-E4430	ULCERATION OF CECUM
D-E4440	TYPHLITIS, NOS
D-E4446	BACTERIAL OVERGROWTH SYNDROME
D-E4716	EXUDATIVE ENTEROPATHY
D-E5010	Protozoal Diarrhea, Flagellate
D-E7011	PERITONITIS, ACUTE GENERALIZED
D-E8013	PARENCHYMATOUS DEGENERATION OF LIVER
D-E8082	HEPATIC LIPIDOSIS
D-E8100	HEPATIC ABSCESS, NOS
D-E8184	AMYLOIDOSIS, HEPATIC
D-F1001	ADVERSE DRUG EFFECT, NOS
D-F1024	WASTING DISEASE, NOS
D-F2148	ELECTROLYTE AND FLUID DISORDER, NEC
D-F8410	HYPERBILIRUBINEMIA, UNCONJUGATED, NOS
D-FD042	DEATH DURING ANESTHETIC INDUCTION
D-FD044	ANESTHETIC DEATH
D-FD160	VICTIM OF PHYSICAL ASSAULT, NOS
D-G1241	ACUTE TUBULAR NECROSIS
D-G1401	RENAL CYST, SOLITARY, MULTILOCULAR
D-G5120	HYPERPLASIA OF PROSTATE, NOS
D-G7200	ENDOMETRIOSIS, NOS
D-H0010	ABNORMAL PRODUCTS OF CONCEPTION, NOS
D-H0400	ABORTION, NOS
D-H0410	SPONTANEOUS ABORTION, NOS
D-H1220	PROLONGED GESTATION
D-H2021	MALPRESENTATION OF FETUS, NOS
D-H2032	CEPHALOPELVIC DISPROPORTION, NOS
D-H2033	FETAL DISPROPORTION, NOS
D-H2220	CHORIOAMNIONITIS
D-H2221	PLACENTITIS
D-H3010	DYSTOCIA, NOS
D-H3110	UMBILICAL CORD ENTANGLEMENT
D-H4013	PUERPERAL SEPTICEMIA
D-H6000	FETUS OR NEWBORN AFFECTED BY MATERNAL CONDITION, NOS
D-H6003	FETUS OR NEWBORN AFFECT BY MATERNAL INFECT DISEASE, NOS
D-H6006	FETUS OR NEWBORN AFFECTED BY MATERNAL INJURY
D-H6007	FETUS OR NEWBORN AFFECTED BY SURG. OPERATION ON MOTHER
D-H6103	FETUS OR NEWBORN AFFECT BY PREMATURE RUPT OF MEMBRANES
D-H6108	FETUS OR NEWBORN AFFECTED BY MATERNAL DEATH
D-H6131	FETUS OR NEWBRN AFFECT-BY PLACENTAL SEPARA. AND HEMORR.
D-H6133	FETUS OR NEWBORN AFFECT BY PREMATURE SEPAR. OF PLACENTA
D-H6135	FETUS OR NEWBORN AFFECTED BY MATERNAL BLOOD LOSS
D-H6162	FETUS OR NEWBORN AFFECTED BY CHORIOAMNIONITIS
D-H6165	FETUS OR NEWBORN AFFECTED BY PLACENTITIS
D-H6176	FETUS OR NEWBORN AFFECTED BY CESAREAN DELIVERY
D-H6188	FETUS OR NEWBORN AFFECTED BY PROCEDURE USED IN DEL, NEC
D-H7001	CONGENITAL DEBILITY OF FETUS, NOS
D-H7011	FETAL GROWTH RETARDATION, NOS
D-H7022	PREMATURITY OF FETUS, NOS
D-H7031	EXCEPTIONALLY LARGE BABY
D-H7100	BIRTH TRAUMA, NOS
D-H7109	CEREBRAL VENOUS THROMBOSIS
D-H7110	CEREBRAL HEMORRHAGE IN FETUS OR NEWBORN, NOS
D-H7111	SUBDURAL HEMORRHAGE IN FETUS OR NEWBORN, NOS
D-H7112	CEREBRAL HEMORRHAGE DUE TO BIRTH TRAUMA
D-H7113	TENTORIAL TEAR AS BIRTH TRAUMA
D-H7123	FRACTURE OF SKULL AS BIRTH TRAUMA
D-H7151	RUPTURE OF LIVER AS BIRTH TRAUMA
D-H7200	INTRAUTERINE HYPOXIA OR BIRTH ASPHYXIA, NOS
D-H7201	ANOXIA, NOS, IN LIVEBORN INFANT
D-H7211	FETAL DISTRESS NOS, IN LIVE BORN INFANT
D-H7220	FETAL DEATH DUE TO ASPHYXIA OR ANOXIA PRIOR TO LABOR
D-H7230	FETAL DEATH DUE TO ASPHYXIA OR ANOXIA DURING LABOR
D-H7253	INFECTIVE PNEUMONIA ACQUIRED PRENATALLY, NOS
D-H7254	FETAL ASPIRATION PNEUMONITIS
D-H7255	MECONIUM ASPIRATION SYNDROME
D-H7260	Meconium passage in utero
D-H7264	PRIMARY ATELECTASIS, NOS, IN PERINATAL PERIOD
D-H7265	ATELECTASIS, PRIMARY, PERINATAL, PARTIAL
D-H7321	INTRAUTERINE SEPSIS OF FETUS
D-H7322	SEPTICEMIA OF NEWBORN
D-H7404	FETAL BLOOD LOSS FROM PLACENTA
D-H7418	OTHER SPECIFIED HEMORRHAGE OF FETUS OR NEWBORN, NEC
D-H7615	SWALLOWED BLOOD SYNDROME IN FETUS OR NEWBORN
D-H7840	FETAL DEATH DUE TO TERMINATION OF PREGNANCY, NOS
D-S0506	PSORIASIFORM DERMATITIS, NOS
D-X2125	CONVERGENT STRABISMUS (ESOTROPIA)
D-X3000	GLAUCOMA, NOS
D-X6210	ATROPHIC RHINITIS
D-X7120	LUDWIGS ANGINA SYNDROME
D-X8000	EPISTAXIS
D-X8002	FUNGUS HAIR
D-X8005	FUNGUS SKIN
D-Y0300	NEOPLASTIC DISEASE, NOS
D-Y2100	Mastitis
D-Y2200	Retained Placenta
D-Y2300	Fatal Fasting Syndrome
D-Y2400	Ureaplasmosis
D-Y3500	SUPERFICIAL PERIVASCULAR DERMATITIS, NOS
D-Y3510	SUPERFICIAL AND DEEP PERIVASCULAR DERMATITIS
D-Y3520	VASCULITIS OF THE SKIN, NOS
D-Y3528	SMALL VESSEL THROMBOSIS OF SKIN
D-Y3555	SUBEPIDERMAL VESICULAR DERMATITIS
D-Y4500	PERITONITIS, ACUTE SUPPURATIVE
D-Y5500	Simian Varicella
D-Y5600	SIV Infection
D-Y5700	Brachygnathism
D-Y6201	PERFORATION OF INTESTINE,NOS
D-Y6202	INTESTINAL FOREIGN BODY, NOS
D-YY243	CAMPYLOBACTERIOSIS
D-YY389	AMYLOID ENTEROPATHY
D-YY395	Enteropathy with villous atrophy
D-YY400	NUCLEAR SCLEROSIS
D-YY410	Lawsonial enteritis
D-YY450	Urolithiasis
D-YY500	AVULSION OF TOOTH
D-YY551	Pyelonephritis
D-YY555	Vasculitis
D-YY556	Lymphoma, NOS
D-YY645	Lymphoma, multicentric
D-YY650	Endocarditis, NOS
D-YY660	SHIV Infection
D-YY670	Enterocolitis, NOS
D-YY710	Dermatitis, NOS
D-YY745	Placenta Percreta
D-YY748	Neurologic deficit, NOS
D-YY800	ACQUIRED IMMUNODEFICIENCY
D-YY801	ACQUIRED IMMUNODEFICIENCY, PRESUMPTIVE
D-YY850	Placenta Accreta
D-YY901	HYPERBILIRUBINEMIA, CONJUGATED, NOS
D-YY910	SIMIAN HEMORRHAGIC FEVER VIRUS INFECTION
E-00010	ETIOLOGIC AGENT UNKNOWN
E-00020	ETIOLOGY, NOT APPLICABLE
E-00030	ETIOLOGY, INFECTION TRANS BY CARRIER
E-00040	ETIOLOGIC AGENT NOT IDENTIFIED,(NEGATIVE)
E-00070	INFECTIOUS AGENT, NOS
E-00100	ETIOLOGY, SOCIAL DEPRIVATION
E-00130	ETIOLOGY, IATROGENIC
E-00200	ETIOLOGY, IDIOPATHIC
E-00220	ETIOLOGY, SECONDARY
E-00240	ETIOLOGY, ACQUIRED
E-00320	ETIOLOGY, ENVIRONMENT, AS CAUSE OF
E-00360	SURGICAL COMPLICATION
E-07237	AMIKACIN SULFATE  (250mg/ml)
E-07255	Doxycycline 100 mg tablets
E-07262	OXACILLIN
E-07789	FENTANYL Patch (25mcg)
E-08209	Metoclopramide (10mg)
E-08245	PROCHLOROPERAZINE
E-08811	Naloxone injectable (0.4 mg/ml)
E-0X042	DIET, #5050 High Fiber 8.5%
E-10000	BACTERIUM, NOS
E-10001	BACTERIUM, AEROBIC, NOS
E-10002	BACTERIUM, ANAEROBIC, NOS
E-10003	BACTERIA, NORMAL FLORA
E-10030	BACTERIUM, GRAM POSITIVE
E-10040	BACILLUS, GRAM POSITIVE
E-10050	COCCUS, GRAM POSITIVE
E-10070	BACTERIUM, GRAM NEGATIVE
E-10072	Bacterium gram-negative, attaching and effacing
E-10080	BACILLUS, GRAM NEGATIVE
E-10090	COCCUS, GRAM NEGATIVE
E-10100	COCCOBACILLUS, GRAM NEGATIVE
E-10140	TOXIN, CLOSTRIDIUM PERFRINGENS
E-10200	TOXIN, BACTERIAL
E-10500	ACINETOBACTER, NOS
E-10510	HERELLEA VAGINICOLA
E-10511	ACINETOBACTER CALCOACETICUS
E-10600	ACTINOBACILLUS, NOS
E-10700	ACTINOMYCES, NOS
E-11000	AEROMONAS, NOS
E-11010	AEROMONAS, HYDROPHILIA
E-11100	ALCALIGENES, NOS
E-11101	ACHROMOBACTER, NOS
E-11400	BACILLUS, NOS
E-11420	BACILLUS ANTHRACIS
E-12000	BACTEROIDES, NOS
E-12010	BACTEROIDES FRAGILIS
E-12020	BACTEROIDES RUMINICOLA
E-12040	BACTEROIDES ORALIS
E-12060	BACTEROIDES CACCAE
E-12070	BACTEROIDES UNIFORMIS, NOS
E-12230	BACTEROIDES MELANINOGENICUS
E-12700	BORDETELLA, NOS
E-12730	BORDETELLA BRONCHISEPTICA
E-12800	BORRELIA, NOS
E-13210	NEISSERIA, CATARRHALIS (BRANHAMELLA)
E-13400	BRUCELLA, NOS
E-13420	BRUCELLA ABORTUS
E-13460	BRUCELLA CANIS
E-13700	CAMPYLOBACTER, NOS
E-13710	CAMPYLOBACTER FETUS, NOS
E-13711	CAMPYLOBACTER FETUS, -SS FETUS
E-13712	CAMPYLOBACTER FETUS -SS. INTESTINALIS
E-13713	CAMPYLOBACTER FETUS -SS. JEJUNI
E-14100	CHROMOBACTERIUM, NOS
E-1421X	CHRYSEOMONAS LUTEOLA
E-14300	CLOSTRIDIUM, NOS
E-14440	CLOSTRIDIUM SORDELLI
E-14600	CLOSTRIDIUM HEMOLYTICUM
E-14620	CLOSTRIDIUM NOVYI, NOS
E-14660	CLOSTRIDIUM PERFRINGENS
E-14690	CLOSTRIDIUM CHAUVOEI
E-14700	CLOSTRIDIUM SEPTICUM
E-14710	CLOSTRIDIUM DIFFICILE
E-14950	CLOSTRIDIUM TETANI
E-152--	CORYNEBACTERIUM SUIS
E-15200	CORYNEBACTERIUM, NOS
E-15220	CORYNEBACTERIUM PSEUDOTUBERCULOSIS
E-15240	CORYNEBACTERIUM RENALE
E-15250	CORYNEBACTERIUM KUTSCHERI
E-15270	CORYNEBACTERIUM EQUI
E-15340	CORYNEBACTERIUM MURISEPTICUM
E-15410	CORYNEBACTERIUM PYOGENES
E-15500	DERMATOPHILUS, NOS
E-15620	CITROBACTER, NOS
E-15630	CITROBACTER FREUNDI
E-15650	EDWARDSIELLA, NOS
E-15690	HAFNIA ALVEI
E-15700	ESCHERICHIA, NOS
E-15710	ESCHERICHIA COLI, NOS
E-15711	ESCHERICHIA COLI, TYPE A
E-15712	ESCHERICHIA COLI, TYPE B
E-15713	ESCHERICHIA COLI, TYPE C
E-15714	ESCHERICHIA COLI, TYPE O
E-15717	ESCHERICHIA HERMANII
E-15750	NORMAL ENTERIC FLORA
E-15800	AEROBACTER, NOS
